timestamp,station,alarm_type,description,severity
2024-11-20 08:15:30,LMC,列车超速,列车速度达到92km/h超过限速80km/h,high
2024-11-20 09:22:15,TWO,道岔故障,3号道岔转换失败锁定异常,critical
2024-11-20 10:30:45,FOT,信号灯故障,进站信号灯红灯不亮,high
2024-11-20 11:05:20,ADM,平台门故障,2号站台1号门无法开启,medium
2024-11-20 12:18:00,LMC,列车晚点,列车晚点8分钟,low
2024-11-20 13:40:30,SHT,通信故障,车地通信中断,high
2024-11-20 14:25:15,TWO,道岔故障,5号道岔位置检测异常,critical
2024-11-20 15:10:00,HUH,电力供应异常,接触网电压降低至700V,critical
2024-11-20 16:30:45,LMC,列车超速,列车速度达到88km/h超过限速80km/h,high
2024-11-20 17:15:20,FOT,轨道电路故障,区段占用检测失效,high
2024-11-21 08:20:00,ADM,环境监测异常,隧道内烟雾浓度超标,high
2024-11-21 09:35:15,TWO,道岔故障,3号道岔再次转换失败,critical
2024-11-21 10:50:30,LMC,列车超速,列车速度达到95km/h超过限速80km/h,high
2024-11-21 11:25:45,SHT,信号系统故障,ATP系统异常,critical
2024-11-21 12:40:00,FOT,平台门故障,多个平台门同时故障,critical
2024-11-21 14:10:20,HUH,电力供应异常,变电站主变压器温度过高,high
2024-11-21 15:30:00,LMC,列车晚点,列车晚点12分钟,medium
2024-11-21 16:45:30,TWO,轨道占用异常,无列车但显示占用,medium
2024-11-22 08:00:00,ADM,通风系统故障,隧道通风系统停止运行,high
2024-11-22 09:20:15,FOT,信号灯故障,出站信号灯显示异常,high
2024-11-22 10:40:30,LMC,列车超速,列车速度达到90km/h超过限速80km/h,high
2024-11-22 11:55:00,TWO,道岔故障,7号道岔电机过热,high
2024-11-22 13:10:45,SHT,车站设备故障,自动售票机批量故障,low
2024-11-22 14:30:20,HUH,接触网故障,接触网断线,critical
2024-11-22 15:50:00,LMC,列车晚点,列车晚点6分钟,low

